日期,时间,FEE+5V电流,时间码:秒,时间码:毫秒,上一指令类型-FEE工作状态,采集配置参数,接收指令计数,错误指令计数,科学数据包计数,电荷芯片1工作电流,电荷芯片2工作电流,电荷芯片3工作电流,电荷芯片1限流参数,电荷芯片2限流参数,电荷芯片3限流参数,光电管温度遥测1,光电管温度遥测2,光电管温度遥测3,光电管温度遥测4,光电管温度遥测5,光电管温度遥测6,光电管温度遥测7,光电管温度遥测8,光电管温度遥测9,FEE温度1,FEE温度2,FEE温度3,FEE温度4,Cebr采集延迟,中子首脉冲延迟,中子次脉冲延时1,中子次脉冲延迟2,双脉冲参数0,双脉冲参数1,双脉冲参数2,双脉冲参数3,伽马通道选择,中子通道使能1,中子通道使能2,错误状态,科学数据时间-伽马符合窗,多触发使能-各通道逐事例使能,分组标志-包序列计数,全零
2024年09月10日,14:43:35,0,2C,FB,0_0,0,0,0,0,61,70,64,0,0,0,27.674169,-58.800603,-57.705201,-57.705201,-57.705201,-57.587969,-58.062094,-51.818398,-50.305261,30.041783,26.044401,26.655833,25.885039,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_0,0_0_0,
2024年09月10日,14:43:36,0,2D,FB,25_0,0,1,0,0,62,70,65,0,0,0,27.707463,-58.427086,-57.587969,-57.705201,-57.705201,-57.823290,-58.062094,-51.735495,-50.381820,30.006397,26.076349,26.655833,25.853242,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_1,0_0_0,
2024年09月10日,14:43:37,0,2E,FB,25_0,0,2,0,0,62,70,65,0,0,0,27.840924,-58.550623,-57.705201,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.458703,30.006397,26.044401,26.623417,25.821471,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_2,0_0_0,
2024年09月10日,14:43:38,0,2F,FA,25_0,0,3,0,0,61,70,65,0,0,0,27.707463,-58.675123,-57.587969,-57.705201,-57.705201,-57.823290,-58.062094,-51.735495,-50.381820,30.006397,26.076349,26.461734,25.789724,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_3,0_0_0,
2024年09月10日,14:43:39,0,30,FA,25_0,0,4,0,0,61,70,64,0,0,0,27.541276,-58.800603,-57.705201,-57.705201,-57.587969,-57.705201,-58.182837,-51.818398,-50.381820,30.006397,26.076349,26.365038,25.789724,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_4,0_0_0,
2024年09月10日,14:43:40,0,31,FB,25_0,0,5,0,0,61,70,65,0,0,0,27.541276,-58.927081,-57.587969,-57.705201,-57.705201,-57.705201,-58.062094,-51.652977,-50.305261,29.971043,26.076349,26.332859,25.789724,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_5,0_0_0,
2024年09月10日,14:43:41,0,32,FA,25_0,0,6,0,0,61,70,64,0,0,0,27.640903,-58.675123,-57.587969,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,29.971043,26.076349,26.332859,25.789724,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_6,0_0_0,
2024年09月10日,14:43:42,0,33,FA,25_0,0,7,0,0,61,70,64,0,0,0,27.574457,-58.800603,-57.705201,-57.471579,-57.587969,-57.705201,-58.182837,-51.652977,-50.381820,29.971043,26.076349,26.365038,25.789724,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_7,0_0_0,
2024年09月10日,14:43:43,0,34,FA,25_0,0,8,0,0,61,70,65,0,0,0,27.574457,-58.927081,-57.587969,-57.705201,-57.705201,-57.587969,-58.182837,-51.652977,-50.305261,29.971043,26.108323,26.268577,25.789724,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_8,0_0_0,
2024年09月10日,14:43:44,0,35,FB,25_0,0,9,0,0,62,70,65,0,0,0,27.640903,-58.675123,-57.587969,-57.705201,-57.705201,-57.823290,-58.062094,-51.735495,-50.381820,29.971043,26.108323,26.300705,25.853242,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_9,0_0_0,
2024年09月10日,14:43:45,0,36,FB,25_0,0,10,0,0,61,70,64,0,0,0,27.674169,-58.927081,-57.705201,-57.705201,-57.587969,-57.823290,-58.182837,-51.818398,-50.381820,29.971043,26.108323,26.365038,25.853242,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_10,0_0_0,
2024年09月10日,14:43:46,0,37,FB,25_0,0,11,0,0,61,70,65,0,0,0,27.574457,-58.550623,-57.587969,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,29.971043,26.108323,26.268577,25.821471,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_11,0_0_0,
2024年09月10日,14:43:47,0,38,FB,25_0,0,12,0,0,61,70,65,0,0,0,27.640903,-58.800603,-57.587969,-57.705201,-57.823290,-57.587969,-58.182837,-51.735495,-50.381820,29.971043,26.140322,26.268577,25.821471,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_12,0_0_0,
2024年09月10日,14:43:48,0,39,FB,25_0,0,13,0,0,62,70,65,0,0,0,27.674169,-58.675123,-57.587969,-57.705201,-57.705201,-57.705201,-58.062094,-51.818398,-50.381820,29.971043,26.140322,26.268577,25.853242,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_13,0_0_0,
2024年09月10日,14:43:49,0,3A,FA,25_0,0,14,0,0,61,70,65,0,0,0,27.840924,-58.927081,-57.705201,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.305261,29.971043,26.140322,26.397244,25.916861,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_14,0_0_0,
2024年09月10日,14:43:50,0,3B,FA,25_0,0,15,0,0,62,70,65,0,0,0,27.574457,-58.675123,-57.587969,-57.705201,-57.705201,-57.705201,-58.304497,-51.652977,-50.381820,29.971043,26.108323,26.397244,25.916861,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_15,0_0_0,
2024年09月10日,14:43:51,0,3C,FB,25_0,0,19,0,0,62,70,65,0,0,0,27.342780,-58.927081,-57.587969,-57.705201,-57.705201,-57.705201,-58.182837,-51.735495,-50.305261,29.900436,26.140322,26.332859,25.916861,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_16,0_0_0,
2024年09月10日,14:43:52,0,3D,FA,87_0,0,43,0,0,64,70,65,0,0,0,27.112465,-58.304497,-57.587969,-57.705201,-57.705201,-57.705201,-58.062094,-51.652977,-50.458703,29.865182,26.108323,26.236475,25.885039,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_17,0_0_0,
2024年09月10日,14:43:53,0,3E,FA,87_0,0,68,0,0,64,71,65,0,0,0,26.883489,-58.800603,-57.705201,-57.705201,-57.942249,-57.471579,-58.304497,-51.735495,-50.381820,29.829961,26.076349,26.236475,25.916861,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_18,0_0_0,
2024年09月10日,14:43:54,0,3F,FA,87_0,0,93,0,0,64,71,67,0,0,0,26.850887,-58.675123,-57.587969,-57.705201,-57.705201,-57.705201,-58.062094,-51.652977,-50.305261,29.865182,26.108323,26.268577,25.916861,0,0,0,0,0,0,0,0,0,0,0,0_0,0_0,0_0,3_19,0_0_0,
2024年09月10日,14:43:55,0,40,FA,87_0,0,95,0,0,63,71,66,0,0,0,26.785762,-58.927081,-57.587969,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.305261,29.865182,26.108323,26.300705,25.980580,15,40,6,14,0,0,0,0,0,0,0,0_0,0_0,0_0,3_20,0_0_0,
2024年09月10日,14:43:56,0,41,FA,87_0,0,97,0,0,64,71,66,0,0,0,26.850887,-58.800603,-57.705201,-57.823290,-57.587969,-57.823290,-58.182837,-51.818398,-50.381820,29.865182,26.108323,26.268577,25.980580,15,40,6,14,38,0,0,0,0,0,0,0_0,0_0,0_0,3_21,0_0_0,
2024年09月10日,14:43:57,0,42,FB,87_0,0,99,0,0,64,71,66,0,0,0,26.916119,-58.927081,-57.587969,-57.705201,-57.705201,-57.587969,-58.182837,-51.652977,-50.305261,29.829961,26.076349,26.332859,26.012478,15,40,6,14,38,500,0,0,0,0,0,0_0,0_0,0_0,3_22,0_0_0,
2024年09月10日,14:43:58,0,43,FA,87_0,0,101,0,0,64,71,66,0,0,0,26.981459,-58.800603,-57.471579,-57.823290,-57.587969,-57.587969,-58.182837,-51.652977,-50.381820,29.829961,26.108323,26.365038,25.980580,15,40,6,14,38,500,2000,0,0,0,0,0_0,0_0,0_0,3_23,0_0_0,
2024年09月10日,14:43:59,0,44,FA,87_0,0,103,0,0,64,71,66,0,0,0,26.948775,-58.550623,-57.587969,-57.705201,-57.587969,-57.705201,-58.182837,-51.652977,-50.381820,29.829961,26.108323,26.365038,26.044401,15,40,6,14,38,500,2000,2560,0,0,0,0_0,0_0,0_0,3_24,0_0_0,
2024年09月10日,14:44:00,0,45,FB,87_0,0,105,0,0,64,71,66,0,0,0,26.948775,-58.927081,-57.705201,-57.705201,-57.705201,-57.587969,-58.304497,-51.735495,-50.381820,29.829961,26.076349,26.494018,26.044401,15,40,6,14,38,500,2000,2560,0,0,0,0_0,0_0,0_0,3_25,0_0_0,
2024年09月10日,14:44:01,0,46,FA,87_0,0,107,0,0,64,71,66,0,0,0,27.046907,-58.800603,-57.705201,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,29.829961,26.076349,26.494018,26.044401,15,40,6,14,38,500,2000,2560,9E,FF,FF,0_0,0_0,0_0,3_26,0_0_0,
2024年09月10日,14:44:02,0,47,FB,87_0,0,109,0,0,64,71,66,0,0,0,26.850887,-58.927081,-57.471579,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,29.829961,26.076349,26.494018,26.076349,15,40,6,14,38,500,2000,2560,9E,FF,FF,0_0,0_b,1_1ff,3_27,0_0_0,
2024年09月10日,14:44:03,0,48,FA,25_0,0,110,0,0,64,71,66,0,0,0,26.720744,-58.927081,-57.587969,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.305261,29.724494,26.044401,26.397244,26.076349,15,40,6,14,38,500,2000,2560,9E,FF,FF,0_0,0_b,1_1ff,3_28,0_0_0,
2024年09月10日,14:44:04,0,49,FA,25_0,0,111,0,0,64,71,66,0,0,0,26.883489,-58.550623,-57.705201,-57.705201,-57.705201,-57.705201,-58.182837,-51.735495,-50.381820,29.689404,26.012478,26.332859,26.044401,15,40,6,14,38,500,2000,2560,9E,FF,FF,0_0,0_b,1_1ff,3_29,0_0_0,
2024年09月10日,14:44:05,0,4A,FA,25_0,0,112,0,0,64,71,66,0,0,0,26.981459,-58.927081,-57.587969,-57.705201,-57.705201,-57.705201,-58.062094,-51.735495,-50.305261,29.689404,25.980580,26.365038,26.044401,15,40,6,14,38,500,2000,2560,9E,FF,FF,0_0,0_b,1_1ff,3_30,0_0_0,
2024年09月10日,14:44:06,0,4B,FB,25_0,0,113,0,0,64,71,67,0,0,0,26.981459,-58.800603,-57.587969,-57.705201,-57.705201,-57.705201,-58.062094,-51.735495,-50.305261,29.724494,25.980580,26.365038,26.044401,15,40,6,14,38,500,2000,2560,9E,FF,FF,0_0,0_b,1_1ff,3_31,0_0_0,
2024年09月10日,14:44:07,0,4C,FB,25_0,0,114,0,0,64,71,66,0,0,0,27.112465,-58.800603,-57.471579,-57.705201,-57.587969,-57.587969,-58.182837,-51.652977,-50.381820,29.654347,25.980580,26.365038,26.044401,15,40,6,14,38,500,2000,2560,9E,FF,FF,0_0,0_b,1_1ff,3_32,0_0_0,
2024年09月10日,14:44:08,0,4D,FA,25_0,0,115,0,0,64,71,66,0,0,0,27.243908,-58.550623,-57.587969,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.458703,29.689404,25.980580,26.429476,26.044401,15,40,6,14,38,500,2000,2560,9E,FF,FF,0_0,0_b,1_1ff,3_33,0_0_0,
2024年09月10日,14:44:09,0,4E,FB,25_0,0,116,0,0,64,71,66,0,0,0,27.243908,-58.427086,-57.705201,-57.705201,-57.705201,-57.705201,-58.062094,-51.735495,-50.381820,29.689404,26.012478,26.461734,26.108323,15,40,6,14,38,500,2000,2560,9E,FF,FF,0_0,0_b,1_1ff,3_34,0_0_0,
2024年09月10日,14:44:10,0,4F,FB,25_0,0,117,0,0,64,71,66,0,0,0,27.145285,-58.800603,-57.705201,-57.705201,-57.705201,-57.705201,-58.182837,-51.735495,-50.381820,29.689404,25.980580,26.494018,26.108323,15,40,6,14,38,500,2000,2560,9E,FF,FF,0_0,0_b,1_1ff,3_35,0_0_0,
