日期,时间,FEE+5V电流,时间码:秒,时间码:毫秒,上一指令类型-FEE工作状态,采集配置参数,接收指令计数,错误指令计数,科学数据包计数,电荷芯片1工作电流,电荷芯片2工作电流,电荷芯片3工作电流,电荷芯片1限流参数,电荷芯片2限流参数,电荷芯片3限流参数,光电管温度遥测1,光电管温度遥测2,光电管温度遥测3,光电管温度遥测4,光电管温度遥测5,光电管温度遥测6,光电管温度遥测7,光电管温度遥测8,光电管温度遥测9,FEE温度1,FEE温度2,FEE温度3,FEE温度4,Cebr采集延迟,中子首脉冲延迟,中子次脉冲延时1,中子次脉冲延迟2,双脉冲参数0,双脉冲参数1,双脉冲参数2,双脉冲参数3,伽马通道选择,中子通道使能1,中子通道使能2,错误状态,科学数据时间-伽马符合窗,多触发使能-各通道逐事例使能,分组标志-包序列计数,全零
2024年09月11日,15:23:45,0,E7B,360,25_0,0,154,0,216,64,71,67,0,0,0,28.277869,-58.800603,-57.471579,-57.823290,-57.705201,-57.823290,-58.427086,-51.735495,-50.381820,29.794773,26.076349,26.236475,25.442151,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3600,0_0_0,
2024年09月11日,15:23:46,0,E7C,360,25_0,0,155,0,216,64,71,66,0,0,0,28.277869,-58.550623,-57.587969,-57.705201,-57.587969,-57.942249,-57.942249,-51.735495,-50.381820,29.794773,26.076349,26.236475,25.505124,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3601,0_0_0,
2024年09月11日,15:23:47,0,E7D,360,25_0,0,156,0,216,64,72,66,0,0,0,28.379408,-58.550623,-57.705201,-57.705201,-57.823290,-57.587969,-58.182837,-51.818398,-50.381820,29.759617,26.044401,26.268577,25.505124,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3602,0_0_0,
2024年09月11日,15:23:48,0,E7E,361,25_0,0,157,0,216,64,71,67,0,0,0,28.277869,-58.800603,-57.471579,-57.823290,-57.587969,-57.587969,-58.304497,-51.570839,-50.381820,29.759617,26.012478,26.236475,25.473625,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3603,0_0_0,
2024年09月11日,15:23:49,0,E7F,360,25_0,0,158,0,216,64,71,67,0,0,0,28.176597,-58.800603,-57.471579,-57.942249,-57.705201,-57.705201,-58.062094,-51.652977,-50.381820,29.759617,26.044401,26.236475,25.505124,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3604,0_0_0,
2024年09月11日,15:23:50,0,E80,360,25_0,0,159,0,216,64,71,67,0,0,0,28.075590,-58.800603,-57.587969,-57.823290,-57.587969,-57.587969,-58.304497,-51.570839,-50.381820,29.794773,26.012478,26.236475,25.536648,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3605,0_0_0,
2024年09月11日,15:23:51,0,E81,360,25_0,0,160,0,216,64,72,66,0,0,0,27.974845,-58.550623,-57.705201,-57.705201,-57.705201,-57.823290,-58.182837,-51.735495,-50.381820,29.794773,25.980580,26.236475,25.536648,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3606,0_0_0,
2024年09月11日,15:23:52,0,E82,361,25_0,0,161,0,216,64,71,67,0,0,0,27.907827,-58.927081,-57.471579,-57.587969,-57.705201,-57.587969,-58.304497,-51.652977,-50.381820,29.794773,25.980580,26.268577,25.536648,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3607,0_0_0,
2024年09月11日,15:23:53,0,E83,360,25_0,0,162,0,216,64,71,67,0,0,0,27.907827,-58.675123,-57.471579,-57.705201,-57.705201,-57.705201,-58.062094,-51.652977,-50.458703,29.794773,26.012478,26.268577,25.568196,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3608,0_0_0,
2024年09月11日,15:23:54,0,E84,35F,25_0,0,163,0,216,64,71,66,0,0,0,27.941321,-58.800603,-57.587969,-57.587969,-57.705201,-57.705201,-58.182837,-51.652977,-50.305261,29.794773,25.980580,26.268577,25.536648,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3609,0_0_0,
2024年09月11日,15:23:55,0,E85,360,25_0,0,164,0,216,64,71,67,0,0,0,27.674169,-58.927081,-57.471579,-57.705201,-57.587969,-57.705201,-58.182837,-51.652977,-50.381820,29.794773,26.012478,26.204398,25.536648,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3610,0_0_0,
2024年09月11日,15:23:56,0,E86,360,25_0,0,165,0,216,64,71,66,0,0,0,27.674169,-58.550623,-57.705201,-57.705201,-57.823290,-57.471579,-58.182837,-51.652977,-50.381820,29.829961,25.948708,26.172347,25.599768,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3611,0_0_0,
2024年09月11日,15:23:57,0,E87,360,25_0,0,166,0,216,64,71,66,0,0,0,27.640903,-58.927081,-57.587969,-57.823290,-57.823290,-57.705201,-58.182837,-51.652977,-50.381820,29.865182,25.980580,26.108323,25.568196,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3612,0_0_0,
2024年09月11日,15:23:58,0,E88,360,25_0,0,167,0,216,64,71,67,0,0,0,27.541276,-58.927081,-57.587969,-57.705201,-57.705201,-57.705201,-58.427086,-51.570839,-50.381820,29.900436,25.948708,26.108323,25.536648,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3613,0_0_0,
2024年09月11日,15:23:59,0,E89,360,25_0,0,168,0,216,64,72,66,0,0,0,27.408834,-58.800603,-57.705201,-57.705201,-57.705201,-57.587969,-58.182837,-51.652977,-50.305261,29.900436,25.916861,26.076349,25.536648,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3614,0_0_0,
2024年09月11日,15:24:00,0,E8A,360,25_0,0,169,0,216,64,71,67,0,0,0,27.441902,-58.927081,-57.587969,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,29.865182,25.948708,26.108323,25.536648,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3615,0_0_0,
2024年09月11日,15:24:01,0,E8B,360,25_0,0,170,0,216,64,71,67,0,0,0,27.441902,-58.800603,-57.471579,-57.942249,-57.705201,-57.705201,-58.062094,-51.652977,-50.381820,29.865182,25.948708,26.108323,25.536648,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3616,0_0_0,
2024年09月11日,15:24:02,0,E8C,360,25_0,0,171,0,216,64,71,67,0,0,0,27.441902,-58.550623,-57.823290,-57.705201,-57.823290,-57.705201,-58.182837,-51.652977,-50.381820,29.865182,25.885039,26.108323,25.568196,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3617,0_0_0,
2024年09月11日,15:24:03,0,E8D,360,25_0,0,172,0,216,64,71,67,0,0,0,27.441902,-58.800603,-57.587969,-57.705201,-57.705201,-57.705201,-58.304497,-51.652977,-50.305261,29.865182,25.916861,26.076349,25.568196,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3618,0_0_0,
2024年09月11日,15:24:04,0,E8E,360,25_0,0,174,0,216,64,71,67,0,0,0,27.408834,-58.927081,-57.471579,-57.942249,-57.587969,-57.705201,-58.182837,-51.735495,-50.381820,29.900436,25.916861,26.012478,25.662988,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3619,0_0_0,
2024年09月11日,15:24:05,0,E8F,360,25_0,0,174,0,216,64,71,67,0,0,0,27.441902,-58.927081,-57.587969,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,29.900436,25.885039,26.108323,25.662988,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3620,0_0_0,
2024年09月11日,15:24:06,0,E90,35F,25_0,0,175,0,216,64,72,66,0,0,0,27.541276,-58.550623,-57.705201,-57.705201,-57.705201,-57.587969,-58.062094,-51.735495,-50.381820,29.971043,25.885039,26.076349,25.599768,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3621,0_0_0,
2024年09月11日,15:24:07,0,E91,35F,25_0,0,176,0,216,64,71,66,0,0,0,27.541276,-58.927081,-57.705201,-57.705201,-57.705201,-57.471579,-58.304497,-51.735495,-50.381820,29.900436,25.885039,26.076349,25.536648,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3622,0_0_0,
2024年09月11日,15:24:08,0,E92,360,25_0,0,177,0,216,64,71,66,0,0,0,27.441902,-58.927081,-57.705201,-57.823290,-57.587969,-57.705201,-58.304497,-51.652977,-50.381820,29.900436,25.885039,26.076349,25.599768,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3623,0_0_0,
2024年09月11日,15:24:09,0,E93,360,25_0,0,178,0,216,64,71,67,0,0,0,27.375793,-58.800603,-57.471579,-57.823290,-57.587969,-57.705201,-58.062094,-51.652977,-50.381820,29.865182,25.916861,26.076349,25.631366,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3624,0_0_0,
2024年09月11日,15:24:10,0,E94,360,25_0,0,179,0,216,64,71,66,0,0,0,27.408834,-58.927081,-57.705201,-57.705201,-57.823290,-57.587969,-58.182837,-51.652977,-50.381820,29.900436,25.885039,26.140322,25.599768,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3625,0_0_0,
2024年09月11日,15:24:11,0,E95,360,25_0,0,180,0,216,64,71,67,0,0,0,27.408834,-58.675123,-57.471579,-57.705201,-57.705201,-57.823290,-58.062094,-51.735495,-50.381820,29.935723,25.948708,26.076349,25.599768,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3626,0_0_0,
2024年09月11日,15:24:12,0,E96,360,25_0,0,181,0,216,64,71,67,0,0,0,27.375793,-58.800603,-57.471579,-57.942249,-57.587969,-57.705201,-58.182837,-51.652977,-50.381820,29.971043,25.916861,26.076349,25.568196,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3627,0_0_0,
2024年09月11日,15:24:13,0,E97,360,25_0,0,182,0,216,64,71,66,0,0,0,27.342780,-58.800603,-57.587969,-57.705201,-57.705201,-57.823290,-58.182837,-51.735495,-50.381820,30.006397,25.916861,26.108323,25.599768,15,40,6,14,36,500,2000,2560,8F,FF,FF,0_0,0_f,1_1ff,3_3628,0_0_0,
