日期,时间,FEE+5V电流,时间码:秒,时间码:毫秒,上一指令类型-FEE工作状态,采集配置参数,接收指令计数,错误指令计数,科学数据包计数,电荷芯片1工作电流,电荷芯片2工作电流,电荷芯片3工作电流,电荷芯片1限流参数,电荷芯片2限流参数,电荷芯片3限流参数,光电管温度遥测1,光电管温度遥测2,光电管温度遥测3,光电管温度遥测4,光电管温度遥测5,光电管温度遥测6,光电管温度遥测7,光电管温度遥测8,光电管温度遥测9,FEE温度1,FEE温度2,FEE温度3,FEE温度4,Cebr采集延迟,中子首脉冲延迟,中子次脉冲延时1,中子次脉冲延迟2,双脉冲参数0,双脉冲参数1,双脉冲参数2,双脉冲参数3,伽马通道选择,中子通道使能1,中子通道使能2,错误状态,科学数据时间-伽马符合窗,多触发使能-各通道逐事例使能,分组标志-包序列计数,全零
2024年09月11日,16:47:31,0,10BB,305,25_3,0,179,0,301,64,71,66,0,0,0,27.807516,-58.927081,-57.823290,-57.705201,-57.587969,-57.823290,-58.182837,-51.735495,-50.381820,30.148143,26.753240,27.342780,26.076349,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3600,0_0_0,
2024年09月11日,16:47:32,0,10BC,304,25_3,0,179,0,302,64,71,67,0,0,0,27.807516,-58.675123,-57.471579,-57.705201,-57.705201,-57.705201,-58.062094,-51.735495,-50.381820,30.077203,26.785762,27.375793,26.108323,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3601,0_0_0,
2024年09月11日,16:47:33,0,10BD,305,25_3,0,180,0,303,64,71,67,0,0,0,27.774136,-58.800603,-57.587969,-57.705201,-57.705201,-57.705201,-58.062094,-51.735495,-50.305261,30.077203,26.753240,27.408834,26.172347,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3602,0_0_0,
2024年09月11日,16:47:34,0,10BE,305,25_3,0,182,0,304,64,71,67,0,0,0,27.640903,-58.800603,-57.705201,-57.823290,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,30.041783,26.818311,27.309795,26.140322,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3603,0_0_0,
2024年09月11日,16:47:35,0,10BF,304,25_3,0,182,0,305,64,71,67,0,0,0,27.508123,-58.675123,-57.705201,-57.705201,-57.823290,-57.587969,-58.182837,-51.735495,-50.381820,30.006397,26.818311,27.145285,26.012478,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3604,0_0_0,
2024年09月11日,16:47:36,0,10C0,305,25_3,0,183,0,306,64,71,67,0,0,0,27.408834,-58.675123,-57.705201,-57.705201,-57.823290,-57.471579,-58.182837,-51.652977,-50.381820,29.971043,26.850887,27.046907,25.980580,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3605,0_0_0,
2024年09月11日,16:47:37,0,10C1,305,25_3,0,184,0,307,64,71,67,0,0,0,27.441902,-58.927081,-57.705201,-57.705201,-57.705201,-57.587969,-58.304497,-51.652977,-50.381820,29.971043,26.850887,26.948775,26.044401,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3606,0_0_0,
2024年09月11日,16:47:38,0,10C2,304,25_3,0,185,0,308,64,71,66,0,0,0,27.508123,-58.675123,-57.587969,-57.705201,-57.705201,-57.705201,-58.062094,-51.735495,-50.381820,30.006397,26.883489,26.916119,26.108323,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3607,0_0_0,
2024年09月11日,16:47:39,0,10C3,304,25_3,0,186,0,309,64,71,67,0,0,0,27.441902,-58.427086,-57.587969,-57.823290,-57.705201,-57.705201,-58.062094,-51.652977,-50.458703,30.006397,26.850887,26.883489,26.172347,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3608,0_0_0,
2024年09月11日,16:47:40,0,10C4,304,25_3,0,187,0,310,64,71,66,0,0,0,27.309795,-58.675123,-57.705201,-57.705201,-57.823290,-57.587969,-58.182837,-51.735495,-50.381820,30.041783,26.850887,26.981459,26.044401,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3609,0_0_0,
2024年09月11日,16:47:41,0,10C5,304,25_3,0,188,0,311,64,71,67,0,0,0,27.276838,-58.800603,-57.587969,-57.942249,-57.587969,-57.587969,-58.182837,-51.652977,-50.381820,30.077203,26.883489,27.014170,25.980580,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3610,0_0_0,
2024年09月11日,16:47:42,0,10C6,304,25_3,0,189,0,312,64,71,67,0,0,0,27.178132,-58.800603,-57.587969,-57.587969,-57.705201,-57.587969,-58.182837,-51.652977,-50.458703,30.112656,26.850887,27.014170,25.948708,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3611,0_0_0,
2024年09月11日,16:47:43,0,10C7,305,25_3,0,190,0,313,64,71,67,0,0,0,27.046907,-58.550623,-57.587969,-57.823290,-57.705201,-57.823290,-58.062094,-51.652977,-50.458703,30.077203,26.850887,26.916119,26.012478,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3612,0_0_0,
2024年09月11日,16:47:44,0,10C8,305,25_3,0,191,0,314,64,71,67,0,0,0,27.112465,-58.927081,-57.587969,-57.705201,-57.705201,-57.705201,-58.304497,-51.652977,-50.305261,30.077203,26.785762,26.916119,25.916861,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3613,0_0_0,
2024年09月11日,16:47:45,0,10C9,304,87_0,0,193,0,314,64,72,67,0,0,0,27.112465,-58.800603,-57.471579,-57.942249,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,30.041783,26.818311,26.883489,25.853242,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3614,0_0_0,
2024年09月11日,16:47:46,0,10CA,304,25_0,0,194,0,314,64,72,66,0,0,0,27.276838,-58.800603,-57.705201,-57.705201,-57.823290,-57.587969,-58.182837,-51.735495,-50.305261,30.112656,26.818311,26.916119,25.853242,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3615,0_0_0,
2024年09月11日,16:47:47,0,10CB,304,25_0,0,195,0,314,64,71,66,0,0,0,27.408834,-58.675123,-57.356017,-57.823290,-57.471579,-57.823290,-57.942249,-51.735495,-50.381820,30.112656,26.850887,26.948775,25.916861,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3616,0_0_0,
2024年09月11日,16:47:48,0,10CC,304,25_0,0,196,0,314,64,71,66,0,0,0,27.541276,-58.800603,-57.705201,-57.471579,-57.823290,-57.705201,-58.182837,-51.652977,-50.381820,30.183663,26.818311,27.014170,25.916861,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3617,0_0_0,
2024年09月11日,16:47:49,0,10CD,305,25_0,0,197,0,314,64,71,66,0,0,0,27.574457,-58.800603,-57.587969,-57.705201,-57.705201,-57.705201,-58.182837,-51.652977,-50.381820,30.148143,26.818311,27.079672,25.916861,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3618,0_0_0,
2024年09月11日,16:47:50,0,10CE,304,25_0,0,198,0,314,64,71,67,0,0,0,27.674169,-58.427086,-57.587969,-57.705201,-57.587969,-57.823290,-58.182837,-51.652977,-50.381820,30.183663,26.850887,27.112465,25.980580,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3619,0_0_0,
2024年09月11日,16:47:51,0,10CF,304,25_0,0,199,0,314,64,71,67,0,0,0,27.640903,-58.304497,-57.705201,-57.823290,-57.705201,-57.705201,-58.062094,-51.652977,-50.458703,30.148143,26.818311,26.981459,26.108323,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3620,0_0_0,
2024年09月11日,16:47:52,0,10D0,304,25_0,0,200,0,314,64,71,66,0,0,0,27.640903,-58.675123,-57.587969,-57.823290,-57.705201,-57.705201,-58.062094,-51.735495,-50.381820,30.148143,26.818311,26.981459,26.140322,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3621,0_0_0,
2024年09月11日,16:47:53,0,10D1,304,25_0,0,201,0,314,64,71,67,0,0,0,27.707463,-58.800603,-57.705201,-57.471579,-57.823290,-57.705201,-58.182837,-51.652977,-50.381820,30.183663,26.753240,27.014170,26.076349,15,40,6,14,36,500,2000,2560,A0,FF,FF,0_0,0_a,1_1ff,3_3622,0_0_0,
2024年09月11日,16:47:54,0,10D2,304,87_0,0,203,0,314,64,71,66,0,0,0,27.807516,-58.550623,-57.587969,-57.705201,-57.587969,-57.942249,-58.062094,-51.735495,-50.381820,30.148143,26.785762,26.948775,26.172347,15,40,6,14,36,500,2000,2560,B0,FF,FF,0_0,0_a,1_1ff,3_3623,0_0_0,
2024年09月11日,16:47:55,0,10D3,304,25_0,0,204,0,314,64,72,66,0,0,0,27.674169,-58.550623,-57.705201,-57.587969,-57.823290,-57.823290,-58.062094,-51.735495,-50.381820,30.183663,26.753240,26.883489,26.108323,15,40,6,14,36,500,2000,2560,B0,FF,FF,0_0,0_a,1_1ff,3_3624,0_0_0,
